==================================================
CURRENT SETTINGS:
S0 = 90
S1 = 0
Part Offset (0,0,0)


CHANGE SETTINGS:
[1] Change Servo Rotations and Part Offset
[2] Other Settings
[3] No Changes

Choice: 

Enter input filename: Enter output filename: Rot X, Y: 0,-0
Doing the matrix math.
 -5.982  -9.017    1.75
 -9.017  -5.739    1.75
  5.739   9.017    1.75
 -0.573   9.017    1.75
 -9.017   0.573    1.75
 -9.017   6.885    1.75
 -6.885   9.017    1.75
 -6.885   9.017    1.75
 -6.885   9.017       2
  9.304  -9.304       2
  9.304  -9.304       2
  9.304   9.304       2
 -9.304   9.304       2
 -9.304  -9.304       2
  9.229  -9.304       2
   9.75   -9.75       2
   9.75    9.75       2
  -9.75    9.75       2
  -9.75   -9.75       2
  9.675   -9.75       2
    9.5  -9.317       2
 -9.017  -6.885       2
 -6.885  -9.017       2
 -0.573  -9.017       2
 -9.017  -0.573       2
 -9.017   5.739       2
  5.739  -9.017       2
  9.017  -5.982       2
 -5.982   9.017       2
  0.331   9.017       2
  9.017   0.331       2
  9.017   6.643       2
  6.643   9.017       2
  6.643   9.017       2
  6.643   9.017    2.25
  9.304  -9.304    2.25
  9.304  -9.304    2.25
  9.304   9.304    2.25
 -9.304   9.304    2.25
 -9.304  -9.304    2.25
  9.229  -9.304    2.25
   9.75   -9.75    2.25
   9.75    9.75    2.25
  -9.75    9.75    2.25
  -9.75   -9.75    2.25
  9.675   -9.75    2.25
    9.5  -9.317    2.25
  9.017  -6.643    2.25
  6.643  -9.017    2.25
  0.331  -9.017    2.25
  9.017  -0.331    2.25
  9.017   5.982    2.25
 -5.982  -9.017    2.25
 -9.017  -5.739    2.25
  5.739   9.017    2.25
 -0.573   9.017    2.25
 -9.017   0.573    2.25
 -9.017   6.885    2.25
 -6.885   9.017    2.25
 -6.885   9.017    2.25
 -6.885   9.017     2.5
  9.304  -9.304     2.5
  9.304  -9.304     2.5
  9.304   9.304     2.5
 -9.304   9.304     2.5
 -9.304  -9.304     2.5
  9.229  -9.304     2.5
   9.75   -9.75     2.5
   9.75    9.75     2.5
  -9.75    9.75     2.5
  -9.75   -9.75     2.5
  9.675   -9.75     2.5
    9.5  -9.317     2.5
 -9.017  -6.885     2.5
 -6.885  -9.017     2.5
 -0.573  -9.017     2.5
 -9.017  -0.573     2.5
 -9.017   5.739     2.5
  5.739  -9.017     2.5
  9.017  -5.982     2.5
 -5.982   9.017     2.5
  0.331   9.017     2.5
  9.017   0.331     2.5
  9.017   6.643     2.5
  6.643   9.017     2.5
  6.643   9.017     2.5
  6.643   9.017    2.75
  9.304  -9.304    2.75
  9.304  -9.304    2.75
  9.304   9.304    2.75
 -9.304   9.304    2.75
 -9.304  -9.304    2.75
  9.229  -9.304    2.75
   9.75   -9.75    2.75
   9.75    9.75    2.75
  -9.75    9.75    2.75
  -9.75   -9.75    2.75
  9.675   -9.75    2.75
    9.5  -9.317    2.75
  9.017  -6.643    2.75
  6.643  -9.017    2.75
  0.331  -9.017    2.75
  9.017  -0.331    2.75
  9.017   5.982    2.75
 -5.982  -9.017    2.75
 -9.017  -5.739    2.75
  5.739   9.017    2.75
 -0.573   9.017    2.75
 -9.017   0.573    2.75
 -9.017   6.885    2.75
 -6.885   9.017    2.75
 -6.885   9.017    2.75
 -6.885   9.017       3
  9.304  -9.304       3
  9.304  -9.304       3
  9.304   9.304       3
 -9.304   9.304       3
 -9.304  -9.304       3
  9.229  -9.304       3
   9.75   -9.75       3
   9.75    9.75       3
  -9.75    9.75       3
  -9.75   -9.75       3
  9.675   -9.75       3
    9.5  -9.317       3
 -9.017  -6.885       3
 -6.885  -9.017       3
 -0.573  -9.017       3
 -9.017  -0.573       3
 -9.017   5.739       3
  5.739  -9.017       3
  9.017  -5.982       3
 -5.982   9.017       3
  0.331   9.017       3
  9.017   0.331       3
  9.017   6.643       3
  6.643   9.017       3
  6.643   9.017       3
  6.643   9.017    3.25
  9.304  -9.304    3.25
  9.304  -9.304    3.25
  9.304   9.304    3.25
 -9.304   9.304    3.25
 -9.304  -9.304    3.25
  9.229  -9.304    3.25
   9.75   -9.75    3.25
   9.75    9.75    3.25
  -9.75    9.75    3.25
  -9.75   -9.75    3.25
  9.675   -9.75    3.25
    9.5  -9.317    3.25
  9.017  -6.643    3.25
  6.643  -9.017    3.25
  0.331  -9.017    3.25
  9.017  -0.331    3.25
  9.017   5.982    3.25
 -5.982  -9.017    3.25
 -9.017  -5.739    3.25
  5.739   9.017    3.25
 -0.573   9.017    3.25
 -9.017   0.573    3.25
 -9.017   6.885    3.25
 -6.885   9.017    3.25
 -6.885   9.017    3.25
 -6.885   9.017     3.5
  9.304  -9.304     3.5
  9.304  -9.304     3.5
  9.304   9.304     3.5
 -9.304   9.304     3.5
 -9.304  -9.304     3.5
  9.229  -9.304     3.5
   9.75   -9.75     3.5
   9.75    9.75     3.5
  -9.75    9.75     3.5
  -9.75   -9.75     3.5
  9.675   -9.75     3.5
    9.5  -9.317     3.5
 -9.017  -6.885     3.5
 -6.885  -9.017     3.5
 -0.573  -9.017     3.5
 -9.017  -0.573     3.5
 -9.017   5.739     3.5
  5.739  -9.017     3.5
  9.017  -5.982     3.5
 -5.982   9.017     3.5
  0.331   9.017     3.5
  9.017   0.331     3.5
  9.017   6.643     3.5
  6.643   9.017     3.5
  6.643   9.017     3.5
  6.643   9.017    3.75
  9.304  -9.304    3.75
  9.304  -9.304    3.75
  9.304   9.304    3.75
 -9.304   9.304    3.75
 -9.304  -9.304    3.75
  9.229  -9.304    3.75
   9.75   -9.75    3.75
   9.75    9.75    3.75
  -9.75    9.75    3.75
  -9.75   -9.75    3.75
  9.675   -9.75    3.75
    9.5  -9.317    3.75
  9.017  -6.643    3.75
  6.643  -9.017    3.75
  0.331  -9.017    3.75
  9.017  -0.331    3.75
  9.017   5.982    3.75
 -5.982  -9.017    3.75
 -9.017  -5.739    3.75
  5.739   9.017    3.75
 -0.573   9.017    3.75
 -9.017   0.573    3.75
 -9.017   6.885    3.75
 -6.885   9.017    3.75
 -6.885   9.017    3.75
 -6.885   9.017       4
  9.304  -9.304       4
  9.304  -9.304       4
  9.304   9.304       4
 -9.304   9.304       4
 -9.304  -9.304       4
  9.229  -9.304       4
   9.75   -9.75       4
   9.75    9.75       4
  -9.75    9.75       4
  -9.75   -9.75       4
  9.675   -9.75       4
    9.5  -9.317       4
 -9.017  -6.885       4
